Easting,Northing,Elevation,Code,source,Point_ID
642388.953,4242186.223,5.731,BED,Nichols 2015,762_747_stk29
642388.042,4242186.672,5.681,BED,Nichols 2015,762_747_stk30
642387.022,4242187.234,5.518,BED,Nichols 2015,762_747_stk31
642386.139,4242187.643,5.388,BED,Nichols 2015,762_747_stk32
642385.339,4242188.100,5.438,BED,Nichols 2015,762_747_stk33
642384.954,4242188.309,5.367,BED,Nichols 2015,762_747_stk34
642384.729,4242188.391,5.422,BED,Nichols 2015,762_747_stk35
642384.320,4242188.616,5.277,BED,Nichols 2015,762_747_stk36
642383.757,4242188.962,5.432,BED,Nichols 2015,762_747_stk37
642382.038,4242189.815,5.431,BED,Nichols 2015,762_747_stk38
642381.475,4242190.104,5.212,BED,Nichols 2015,762_747_stk39
642380.885,4242190.495,5.127,BED,Nichols 2015,762_747_stk40
642379.565,4242191.152,5.2,BED,Nichols 2015,762_747_stk41
642378.469,4242191.745,5.215,BED,Nichols 2015,762_747_stk42
642377.383,4242192.232,5.275,BED,Nichols 2015,762_747_stk43
642375.827,4242193.062,5.116,BED,Nichols 2015,762_747_stk44
642374.656,4242193.701,4.848,BED,Nichols 2015,762_747_stk45
642374.193,4242193.985,4.895,BED,Nichols 2015,762_747_stk46
642374.087,4242194.057,5.102,BED,Nichols 2015,762_747_stk47
642373.346,4242194.454,5.275,BED,Nichols 2015,762_747_stk48
642372.008,4242195.139,5.526,BED,Nichols 2015,762_747_stk49
642370.126,4242196.142,5.492,BED,Nichols 2015,762_747_stk50
642368.947,4242196.781,5.377,BED,Nichols 2015,762_747_stk51
642367.599,4242197.447,5.298,BED,Nichols 2015,762_747_stk52
642366.856,4242197.803,5.346,BED,Nichols 2015,762_747_stk53
642365.427,4242198.629,5.655,BED,Nichols 2015,762_747_stk54
642364.691,4242198.951,6.081,BANK SLOPE,Nichols 2015,762_747_stk55
642363.846,4242199.408,6.937,BANK SLOPE,Nichols 2015,762_747_stk56
642362.442,4242200.192,7.428,BANK SLOPE,Nichols 2015,762_747_stk57
642360.404,4242201.255,8.141,BANK SLOPE,Nichols 2015,762_747_stk58
642358.531,4242202.256,8.862,BANK SLOPE,Nichols 2015,762_747_stk59
642355.936,4242203.569,9.267,BANK TOP,Nichols 2015,762_747_stk60
642354.269,4242204.474,9.234,BANK,Nichols 2015,762_747_stk61
642224.552,4242069.299,-0.004,XS23A,Nichols 2015,763
642327.643,4242032.682,-0.004,XS23A,Nichols 2015,764
642260.659,4242056.436,7.677,BANK,Nichols 2015,764_763_stk
642260.328,4242056.592,7.62,BANK,Nichols 2015,764_763_stk1
642259.816,4242056.761,7.632,BANK,Nichols 2015,764_763_stk2
642259.385,4242056.905,7.62,BANK,Nichols 2015,764_763_stk3
642259.007,4242057.054,7.651,BANK,Nichols 2015,764_763_stk4
642258.641,4242057.174,7.697,BANK,Nichols 2015,764_763_stk5
642258.311,4242057.309,7.667,BANK,Nichols 2015,764_763_stk6
642257.840,4242057.507,7.573,BANKTOP,Nichols 2015,764_763_stk7
642257.377,4242057.604,7.554,BANKTOP,Nichols 2015,764_763_stk8
642257.131,4242057.703,7.466,BANKSLOPE,Nichols 2015,764_763_stk9
642256.873,4242057.806,7.265,BANKSLOPE,Nichols 2015,764_763_stk10
642256.591,4242057.907,7.112,BANKSLOPE,Nichols 2015,764_763_stk11
642256.306,4242058.044,7.025,BANKSLOPE,Nichols 2015,764_763_stk12
642256.033,4242058.142,7.006,BANKSLOPE,Nichols 2015,764_763_stk13
642255.772,4242058.235,6.974,BANKSLOPE,Nichols 2015,764_763_stk14
642255.576,4242058.240,6.947,BANKSLOPE,Nichols 2015,764_763_stk15
642255.302,4242058.384,6.887,BANKSLOPE,Nichols 2015,764_763_stk16
642255.120,4242058.470,6.828,BANKSLOPE,Nichols 2015,764_763_stk17
642254.897,4242058.507,6.747,BANKSLOPE,Nichols 2015,764_763_stk18
642254.618,4242058.657,6.574,BANKSLOPE,Nichols 2015,764_763_stk19
642254.344,4242058.708,6.425,BANKSLOPE,Nichols 2015,764_763_stk20
642254.141,4242058.800,6.283,BANKSLOPE,Nichols 2015,764_763_stk21
642253.968,4242058.877,6.119,BANKSLOPE,Nichols 2015,764_763_stk22
642253.801,4242058.898,5.992,BANKSLOPE,Nichols 2015,764_763_stk23
