FID,Id,ORIG_FID,POINT_X,POINT_Y
313,0,0,-121.3749458,38.31257771
314,0,0,-121.3751338,38.31240163
315,0,0,-121.375298,38.31228456
316,0,0,-121.3754522,38.31219319
317,0,0,-121.3756083,38.31219509
318,0,0,-121.3756616,38.3121437
319,0,0,-121.3757263,38.31209611
320,0,0,-121.3757511,38.31199522
321,0,0,-121.3759528,38.31187149
322,0,0,-121.3760042,38.3119305
323,0,0,-121.376048,38.31194573
324,0,0,-121.3761184,38.31196667
325,0,0,-121.376166,38.31196286
326,0,0,-121.3761203,38.31192859
327,0,0,-121.376187,38.31186197
328,0,0,-121.3762327,38.31178583
329,0,0,-121.3763202,38.31173443
330,0,0,-121.3762745,38.31167923
331,0,0,-121.3761908,38.31172301
332,0,0,-121.3762745,38.31157263
333,0,0,-121.3763212,38.31149886
334,0,0,-121.3763716,38.31141701
335,0,0,-121.3763792,38.31129328
336,0,0,-121.3763973,38.31128757
337,0,0,-121.3763954,38.3111448
338,0,0,-121.3764287,38.31107151
339,0,0,-121.3764637,38.31095944
340,0,0,-121.3764958,38.31085593
341,0,0,-121.3768527,38.31036695
342,0,0,-121.376967,38.31016708
343,0,0,-121.3770955,38.31003145
344,0,0,-121.3771597,38.30978518
345,0,0,-121.3772846,38.30954961
346,0,0,-121.3772918,38.30945324
347,0,0,-121.3773096,38.30936401
348,0,0,-121.3774202,38.30912488
349,0,0,-121.3775702,38.30884648
350,0,0,-121.3776701,38.30878223
351,0,0,-121.37777,38.30873583
352,0,0,-121.3778842,38.30871799
353,0,0,-121.377977,38.30858236
354,0,0,-121.3780163,38.3085431
355,0,0,-121.3781305,38.30842531
356,0,0,-121.3782983,38.30826827
357,0,0,-121.3783946,38.30818261
358,0,0,-121.3784732,38.30805055
359,0,0,-121.378541,38.30788993
360,0,0,-121.3785695,38.30776144
361,0,0,-121.3785802,38.30763652
362,0,0,-121.3786017,38.30735813
363,0,0,-121.3786338,38.30716539
364,0,0,-121.3786481,38.30700834
365,0,0,-121.3787087,38.30684416
366,0,0,-121.3788372,38.30661216
367,0,0,-121.3789443,38.30649081
368,0,0,-121.3790799,38.30638017
